"IssueKey","Status","IssueType","Summary","Priority","Created","Parent Summary","Resolved","De","Para","Data da Mudança"
"RASASDF-120","In Design","Story","Protótipo","Minor","2024-02-02T11:19:08.548-0300","Notification","","Backlog","In Discovery","2024-02-02T11:24:13.840-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Ready for Build","Ready For QA","2023-08-11T10:16:42.512-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Ready For QA","IN QA","2023-08-11T10:16:45.885-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","IN QA","Done","2023-08-11T10:16:51.895-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Done","Created","2023-08-23T20:23:10.822-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Created","Ready for Dev (migrated)","2023-08-23T20:23:17.836-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Ready for Dev (migrated)","IN DEV","2023-08-25T09:43:37.359-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","IN DEV","Ready for Build","2023-08-25T09:44:20.427-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Ready for Build","Ready For QA","2023-08-25T09:44:25.227-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Ready For QA","Ready for Tests","2023-12-06T18:30:47.295-0300"
"RASASDF-1016","In Tests","Story","Refactory","Minor","2023-07-26T16:38:17.518-0300","GU","","Ready for Tests","In Tests","2024-01-29T09:28:23.924-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Created","Ready for Dev (migrated)","2023-07-21T12:50:33.973-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Ready for Dev (migrated)","IN DEV","2023-07-21T12:50:53.362-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","IN DEV","Ready for Build","2023-07-21T12:50:55.878-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Ready for Build","Ready For QA","2023-07-21T12:50:57.748-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Ready For QA","IN QA","2023-07-21T12:51:00.486-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","IN QA","Done","2023-07-21T12:51:02.211-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Done","Created","2023-09-29T19:14:53.615-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Created","Ready for Dev (migrated)","2023-09-29T19:15:03.694-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Ready for Dev (migrated)","IN DEV","2023-09-29T19:15:05.760-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","IN DEV","Ready for Build","2023-09-29T19:15:07.972-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Ready for Build","Ready For QA","2023-09-29T19:15:10.745-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","Ready For QA","IN QA","2023-09-29T19:15:17.902-0300"
"RASASDF-1014","Done","Bug","Ajuste","Minor","2023-07-21T12:45:38.586-0300","","2023-09-29T19:15:20.233-0300","IN QA","Done","2023-09-29T19:15:20.273-0300"
"RASASDF-1012","Done","Story","Login","Minor","2022-09-12T09:56:43.000-0300","Login","2022-09-12T22:28:31.000-0300","Created","Ready for Dev","2022-09-12T22:28:12.000-0300"
"RASASDF-1012","Done","Story","Login","Minor","2022-09-12T09:56:43.000-0300","Login","2022-09-12T22:28:31.000-0300","Ready for Dev","IN DEV","2022-09-12T22:28:15.000-0300"
